,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
153,4.0,0,14,111.0,1.0,14,0.3990332718157297,barmaid,postHC,PMN,,0.6428571428571429,8.0,sub-112,offset,0.3454515933502572,1.1465506553649902
154,9.5,2,1,48.0,1.0,1,0.042784653200484635,barmaid,postHC,PMN,,0.7142857142857143,30.5,sub-115,offset,-0.23299583371748672,0.5508432015776634
155,0.0,2,2,32.0,1.0,2,0.21468053367863726,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-115,offset,-0.06109995323933409,-0.7886941805481911
156,0.0,2,3,51.0,0.0,3,0.23346227159940858,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-115,offset,-0.04231821531856278,-0.8719736635684967
157,1.0,2,4,24.0,1.0,4,0.016873222997942316,barmaid,postHC,PMN,,0.7142857142857143,2.5,sub-115,offset,-0.25890726392002905,0.5229471251368523
158,0.0,2,5,91.0,0.0,5,0.3395142843200511,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-115,offset,0.06373379740207974,-0.02827031910419464
159,0.0,2,6,41.0,0.0,6,0.8146878042428009,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-115,offset,0.5389073173248295,2.4821201264858246
160,1.5,2,7,98.0,1.0,7,0.10113772504417227,barmaid,postHC,PMN,,0.7142857142857143,2.5,sub-115,offset,-0.17464276187379907,-0.2980385775445029
161,0.0,2,8,31.0,1.0,8,0.39374910847492073,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-115,offset,0.11796862155694937,-0.835940033197403
162,0.0,2,9,36.0,1.0,9,0.34463825044358404,barmaid,postHC,PMN,,0.7142857142857143,8.5,sub-115,offset,0.06885776352561268,-0.4170498810708523
163,0.0,2,10,55.0,0.0,10,0.19791075833867322,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-115,offset,-0.07786972857929814,0.44999267160892487
164,2.5,2,11,63.0,1.0,11,-0.14387412035707614,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-115,offset,-0.4196546072750475,0.6312705185264349
